,address1,address2,applcBeDt,applcEnDt,buldNm,elevatorNo,elvtrAsignNo,elvtrDetailForm,elvtrDiv,elvtrForm,elvtrKindNm,elvtrSttsNm,frstInstallationDe,inspctInsttNm,installationDe,installationPlace,liveLoad,mnfcturcpnynm,ratedCap,ratedSpeed,shuttleFloorCnt,sido,sigungu
79,서울특별시 강남구 언주로147길 36,(논현동),20240115,20250114,EX빌딩,0010106,1,VVVF,엘리베이터,권상식,승객용,운행중,20110303,서울강남지사,20110303,1-1,700,오티스엘리베이터(유)창원공장,10,1,4,서울,강남구
80,서울특별시 강남구 도산대로23길 37,(신사동),20240306,20250305,리스빌,0072646,1,VVVF,엘리베이터,권상식,승객용,운행중,20130306,서울강남지사,20130306,1-1,700,현대엘리베이터(주),10,1,5,서울,강남구
81,서울특별시 강남구 언주로168길 31,(신사동),20240328,20250327,위글위글집도산,0010266,1,VVVF,엘리베이터,권상식,승객용,운행중,20070328,서울강남지사,20070328,1-1,550,오티스엘리베이터(유)창원공장,8,1,3,서울,강남구
82,서울특별시 강남구 도산대로17길 45,(신사동),20240422,20250421,학수정데이케어센터,0010660,1,VVVF,엘리베이터,권상식,장애인용,운행중,20100324,서울강남지사,20100324,1-1,1000,현대엘리베이터(주),15,1,5,서울,강남구
83,서울특별시 강남구 삼성로 212,(대치동),20240308,20240907,은마APT,0036068,41,VVVF,엘리베이터,권상식,승객용,운행중,19791009,서울강남지사,19791009,31-1,900,(주)삼일엘텍,13,1,14,서울,강남구
84,서울특별시 강남구 삼성로 212,(대치동),20240619,20241218,은마APT,0036065,38,VVVF,엘리베이터,권상식,승객용,운행중,19791009,서울강남지사,19791009,29-1,1150,(주)삼일엘텍,17,1,14,서울,강남구
85,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009575,5,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160708,1002-3,900,현대엘리베이터(주),13,1.5,15,서울,강남구
86,서울특별시 강남구 강남대로132길 60,(논현동),20240416,20241015,내성빌딩,0010105,1,VVVF,엘리베이터,권상식,승객용,운행중,19940601,서울강남지사,19940601,1-1,450,엘지산전(주) 창원공장,6,1,6,서울,강남구
87,서울특별시 강남구 도곡로 320,(도곡동),20240204,20250203,래미안도곡카운티,0056911,1,VVVF,엘리베이터,권상식,소방구조/장애인용,운행중,20120719,서울강남지사,20120719,101-1,1000,한국미쓰비시엘리베이터(주)(인천),15,1.75,22,서울,강남구
88,서울특별시 강남구 도곡로 320,(도곡동),20240204,20250203,래미안도곡카운티,0056912,2,VVVF,엘리베이터,권상식,소방구조/장애인용,운행중,20120719,서울강남지사,20120719,101-2,1150,한국미쓰비시엘리베이터(주)(인천),17,1.75,22,서울,강남구
