발생일자,건물명,승강기고유번호,주소,사고구분
2005-06-11,키네틱시네마,,경기도 평택시 관광특구로 19 (서정동),중대사고
2005-06-11,한국공항공사부산지역본부,8803420,부산광역시 강서구 공항진입로 108 (대저2동),중대사고
2005-06-11,무역센터컨벤션,1805035,서울특별시 강남구 영동대로 511  (삼성동),중대사고
2005-06-26,서울교통공사6호선안암역,,서울특별시 성북구 인촌로 지하89  (안암동5가),중대사고
2005-07-02,덕풍초등학교,,경기도 하남시 덕풍공원로 20 (덕풍동),중대사고
2005-07-10,서울교통공사5호선여의나루역,1808381,서울특별시 영등포구 여의동로 343 (여의도동),중대사고
2005-07-15,풍림1차아파트,2109124,"경기도 시흥시 월곶중앙로70번길 11 , 관리사무실 (월곶동，월곶동풍림1차아파트)",중대사고
2005-07-16,평촌라츠오피스텔,2054484,경기도 안양시 동안구 부림로 171 (관양동),중대사고
2005-07-20,인천안남중학교,2059925,인천광역시 계양구 계산새로33번길 5 (계산동),중대사고
2005-08-02,인천교통공사 계산역,3803647,인천광역시 계양구 경명대로 1091  (계산동),중대사고
2005-08-06,부평민자역사 쇼핑몰,3806328,인천광역시 부평구 광장로 16 (부평동),중대사고
2005-08-12,서울교통공사6호선구산역,1800592,서울특별시 은평구 연서로 지하 137-1 (구산동),중대사고
2005-08-15,한국철도공사 분당선 이매역,3807495,경기도 성남시 분당구 성남대로 지하 738 (이매동),중대사고
2005-08-15,신원제2빌딩,2034664,인천광역시 남동구 구월로 359 (만수동),중대사고
2005-08-15,백제종합병원,5028184,충청남도 논산시 시민로294번길 14 (취암동),중대사고
